"TT1" "TT2" "TT3" "TT25" "TT26" "TT27"
"ENSG00000134697" 1135 1907 1980 679 802 622
"ENSG00000187513" 0 0 0 0 0 0
"ENSG00000278139" 0 0 0 0 0 0
"ENSG00000238145" 0 0 0 0 0 0
"ENSG00000225142" 0 0 0 0 0 0
"ENSG00000230138" 0 0 0 0 0 0
"ENSG00000230116" 0 0 0 0 0 0
"ENSG00000223390" 1 0 0 0 0 0
"ENSG00000285823" 0 0 0 0 0 0
"ENSG00000284720" 0 0 0 0 0 0
"ENSG00000225028" 7 0 0 0 0 0
"ENSG00000286640" 0 0 0 0 0 0
"ENSG00000225671" 0 0 0 0 0 0
"ENSG00000116151" 77 126 133 81 89 101
"ENSG00000226147" 0 0 0 0 0 0
"ENSG00000182873" 5 8 2 3 4 4
"ENSG00000286518" 0 0 0 0 0 0
"ENSG00000178715" 0 0 0 0 1 0
"ENSG00000284641" 0 0 2 0 2 0
"ENSG00000006555" 0 0 0 0 0 0
"ENSG00000236111" 0 0 0 0 0 0
"ENSG00000066056" 0 0 0 0 0 0
"ENSG00000214114" 389 625 591 229 243 264
"ENSG00000173436" 131 131 150 87 122 92
"ENSG00000116544" 3 9 2 2 3 0
"ENSG00000231900" 0 0 0 0 0 0
"ENSG00000236723" 0 0 2 9 4 0
"ENSG00000204060" 13 29 12 11 9 14
"ENSG00000232467" 0 0 0 0 0 0
"ENSG00000186094" 0 0 3 0 0 2
"ENSG00000117016" 249 268 272 146 150 142
"ENSG00000270241" 0 0 0 0 0 0
"ENSG00000121310" 99 193 153 74 85 75
"ENSG00000169213" 1710 1233 1508 436 542 556
"ENSG00000229846" 0 0 0 0 0 0
"ENSG00000163866" 479 750 865 381 403 342
"ENSG00000225779" 0 0 0 0 0 0
"ENSG00000236546" 0 0 0 0 0 0
"ENSG00000233114" 0 0 2 0 0 0
"ENSG00000228436" 0 2 0 0 2 1
"ENSG00000284601" 0 0 0 0 0 0
"ENSG00000049249" 102 120 187 25 26 29
"ENSG00000284719" 0 2 2 1 0 0
"ENSG00000237130" 0 0 0 0 0 1
"ENSG00000171793" 3238 2809 3483 902 989 1144
"ENSG00000116990" 32 60 80 49 43 27
"ENSG00000143001" 0 2 0 1 3 0
